,2020,2030,2050
co2Coal,95.0,95.0,95.0
co2Oil,74.0,74.0,74.0
co2NGas,56.7,56.7,56.7
averageKMPerYearPerCar,12900.0,12900.0,12900.0
totalKMRunByCars,250000000.0,250000000.0,250000000.0
totalHeatDemand,253.7,249.84,256.11
efficiencyConCar,0.607,0.549,0.497
efficiencyEVCar,0.19882352941176473,0.17058823529411765,0.13764705882352943
efficiencyFCEVCar,0.334,0.267,0.2
efficiencyBiomassCHP,0.66,0.66,0.66
efficiencyElectrolyzerTrans,0.74,0.75,0.78
oilBoilerEfficiency,0.85,0.87,0.89
nGasBoilerEfficiency,0.95,0.97,0.99
biomassBoilerEfficiency,0.8,0.82,0.84
COP,4.54,5.07,5.46
coalShare,14.0,10.4,3.3
oilShare,5.6,4.1,1.3
nGasShare,45.0,33.4,10.5
additionalCostPerGWhinKEuro,136.36,144.33,158.37
